anchor_hs4,anchor_product_name_short,anchor_sector,anchor_hs_section_name,anchor_density,anchor_density_percentile,anchor_embeddedness,candidate_hs4,candidate_product_name_short,candidate_sector,proximity,proximity_above_country_median,proximity_rank,eligible_candidate_count,pci,cog,distance_travelled,accessible_market_size,accessible_market_size_share,accessible_market_growth_5y,dai_index,dai_percentile,alignment_weighted_percentile,pci_norm,cog_norm,accessible_market_size_norm,accessible_market_growth_norm,nai_norm,attractiveness_score,feasibility_score,combined_score
0302,"Fish, excluding fillets",Agriculture,1. Live animals; animal products,0.1199197634800174,74.64788732394366,29.40533724265096,0305,Preserved fish,Agriculture,0.4577423550089806,1,1,1169,-1.8274336584978237,0.1262943958084926,10520.131699425989,233927761.0,5.1212930906351465e-05,0.0167482432524446,0.6950148309046927,19.35483870967742,19.35483870967742,0.4548346266177351,0.2711401248383987,0.0019441391666797866,0.5405094605795909,0.16666666666666666,0.33545920297158743,0.16666666666666666,0.2848214420801112
0302,"Fish, excluding fillets",Agriculture,1. Live animals; animal products,0.1199197634800174,74.64788732394366,29.40533724265096,0307,Molluscs,Agriculture,0.4252706383040388,1,2,1169,-2.5136369414949353,0.0678068944771138,12412.923231666657,1172082862.0,0.0002565997228012,0.1362343916214454,0.9131393629884376,32.25806451612903,32.25806451612903,0.3796274441680689,0.21506170690354848,0.009741008031143167,0.6610975127122466,0.3,0.3087669809865745,0.3,0.30613688669060213
0302,"Fish, excluding fillets",Agriculture,1. Live animals; animal products,0.1199197634800174,74.64788732394366,29.40533724265096,0511,Animal products n.e.c.,Agriculture,0.3921775095192994,1,3,1169,-1.116931991439732,0.0450381957432194,9509.460016427443,1199611234.0,0.0002626264064542,0.0527010741729492,0.8756603104021087,22.58064516129032,22.58064516129032,0.5327048872668011,0.19323084433689955,0.009969792276208169,0.5767938492601047,0.19999999999999996,0.3420920522917421,0.19999999999999996,0.29946443660421945
0302,"Fish, excluding fillets",Agriculture,1. Live animals; animal products,0.1199197634800174,74.64788732394366,29.40533724265096,0807,Melons and papayas,Agriculture,0.3810164540932864,1,4,1169,-2.4098397005508776,0.0069713135282616,9375.176243254604,9433555.0,2.0652529582252805e-06,-0.0226732756746198,0.7612778834271325,29.03225806451613,29.03225806451613,0.3910035162896658,0.15673192607687417,7.840088614590696e-05,0.5007243955790472,0.26666666666666666,0.26682782429806795,0.26666666666666666,0.26677947700864757
0302,"Fish, excluding fillets",Agriculture,1. Live animals; animal products,0.1199197634800174,74.64788732394366,29.40533724265096,0509,Sponges of animal origin,Agriculture,0.3752621994962911,1,5,1169,-1.1363446577962637,0.0340975361853899,8798.968380445001,0.0,0.0,0.0,0.8172350184458099,22.58064516129032,22.58064516129032,0.5305772787626075,0.1827408274067745,0.0,0.5236067646769741,0.19999999999999996,0.3282023518608298,0.19999999999999996,0.2897416463025808
0302,"Fish, excluding fillets",Agriculture,1. Live animals; animal products,0.1199197634800174,74.64788732394366,29.40533724265096,0503,Horsehair,Agriculture,0.3738810285593353,1,6,1169,-1.1752725461424305,0.0330882855083818,8807.585001789519,0.0,0.0,0.0,0.819468173578009,22.58064516129032,22.58064516129032,0.5263108217610565,0.1817731474755423,0.0,0.5236067646769741,0.19999999999999996,0.3263704039343557,0.19999999999999996,0.2884592827540489
0302,"Fish, excluding fillets",Agriculture,1. Live animals; animal products,0.1199197634800174,74.64788732394366,29.40533724265096,2501,Salt,Minerals,0.3696304188491862,1,7,1169,-1.292895533311749,0.1231880051906535,11003.992183581831,99983287.0,2.188896754721176e-05,0.0524986048382112,0.8322509885087715,12.903225806451612,12.903225806451612,0.513419461903842,0.2681616855587125,0.0008309463718164085,0.5765895127489198,0.09999999999999998,0.3601664704800045,0.09999999999999998,0.2821165293360031
0302,"Fish, excluding fillets",Agriculture,1. Live animals; animal products,0.1199197634800174,74.64788732394366,29.40533724265096,6207,Men's undergarments,Textiles,0.3686928781974784,1,8,1169,-0.8008588419909827,0.1525950440554773,10381.03605413471,349954348.0,7.661419819472079e-05,0.0099746169589112,0.9001442642461465,19.35483870967742,19.35483870967742,0.5673461832311819,0.2963574569312062,0.0029084190417942232,0.533673367762462,0.16666666666666666,0.3827835420774742,0.16666666666666666,0.31794847945423194
0302,"Fish, excluding fillets",Agriculture,1. Live animals; animal products,0.1199197634800174,74.64788732394366,29.40533724265096,3209,"Paints and varnishes, aqueous",Chemicals,0.3667821364560606,1,9,1169,0.5293595877316591,0.3829317262009713,9983.461143546749,182037750.0,3.9852844627097e-05,0.1172634608458773,1.0483993001562326,45.16129032258064,45.16129032258064,0.7131367712696252,0.5172066372355081,0.0015128889280877755,0.6419516316155995,0.43333333333333324,0.5271398710583497,0.43333333333333324,0.4989979097408448
0302,"Fish, excluding fillets",Agriculture,1. Live animals; animal products,0.1199197634800174,74.64788732394366,29.40533724265096,0709,Other vegetables,Agriculture,0.3654903339041356,1,10,1169,-1.04462454185783,0.1190453617803546,9287.336406901297,33008650.0,7.226460444606821e-06,0.1001869044067138,0.7732979240326256,19.35483870967742,19.35483870967742,0.5406297102571904,0.26418967644172947,0.0002743300283382131,0.6247175948151773,0.16666666666666666,0.37543557407114925,0.16666666666666666,0.3128049018498044
