tema,importer_iso,accessible_market_imports
"Textiles, confección y muebles",BOL,66975258.0
"Textiles, confección y muebles",BRA,1369247238.0
"Textiles, confección y muebles",CAN,6315077080.0
"Textiles, confección y muebles",CHL,533981916.0
"Textiles, confección y muebles",COL,721337531.0
"Textiles, confección y muebles",CRI,226628067.0
"Textiles, confección y muebles",CUB,19787376.0
"Textiles, confección y muebles",DOM,428175304.0
"Textiles, confección y muebles",GTM,423950404.0
"Textiles, confección y muebles",HND,518520940.0
"Textiles, confección y muebles",HTI,50149086.0
"Textiles, confección y muebles",JAM,90929115.0
"Textiles, confección y muebles",MEX,4112327069.0
"Textiles, confección y muebles",NIC,595090286.0
"Textiles, confección y muebles",PAN,196064279.0
"Textiles, confección y muebles",PER,473989141.0
"Textiles, confección y muebles",PRY,126799377.0
"Textiles, confección y muebles",SLV,338579665.0
"Textiles, confección y muebles",TTO,52893479.0
"Textiles, confección y muebles",URY,169739726.0
"Textiles, confección y muebles",USA,55031533670.0
"Textiles, confección y muebles",VEN,190746936.0
