location,product,rca_transformation,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,density_percentile
ECU,101,0.0301151656695895,2024,105.35237282209494,16.862749717406565,0.0301151656695895,-0.7026525233510372,1.393516171473416,0.0712049114799878,-0.7317714003097093,0.4880656040619923,0.0301151656695895,0.2896551724137931
ECU,102,0.0,2024,105.35237282209494,31.0096763071196,0.0,-0.7026525233510372,-0.6664416152225203,0.0945436764444356,-0.7317714003097093,0.2379723844150951,0.0,0.3034482758620689
ECU,103,0.0,2024,105.35237282209494,14.78005466082061,0.0,-0.7026525233510372,2.6585902435228115,0.0720985334094991,-0.7317714003097093,0.6003706208503736,0.0,0.2896551724137931
ECU,104,0.0,2024,105.35237282209494,23.7226140002908,0.0,-0.7026525233510372,-2.335779221738272,0.0932738145843425,-0.7317714003097093,0.0496730878375434,0.0,0.2689655172413793
ECU,105,0.0,2024,105.35237282209494,33.13089249937442,0.0,-0.7026525233510372,-0.2623805369703629,0.0979924061589864,-0.7317714003097093,0.2471722083638646,0.0,0.296551724137931
ECU,106,0.5095542628851236,2024,105.35237282209494,42.66468814932683,0.5095542628851236,-0.7026525233510372,-1.626901550622281,0.1096394116523482,-0.7317714003097093,0.0293006792262319,0.5095542628851236,0.296551724137931
ECU,201,0.0,2024,105.35237282209494,25.210529721734417,0.0,-0.7026525233510372,-0.0497773806001382,0.0890513280724971,-0.7317714003097093,0.2751090022817396,0.0,0.296551724137931
ECU,202,1.7317994491359187e-05,2024,105.35237282209494,22.3853738118439,1.7317994491359187e-05,-0.7026525233510372,-0.9401326087206832,0.0948048202448326,-0.7317714003097093,0.1209701497840824,1.7317994491359187e-05,0.3103448275862069
ECU,203,0.0,2024,105.35237282209494,17.679071353849274,0.0,-0.7026525233510372,1.917792289692931,0.0744212961848435,-0.7317714003097093,0.5665276182287022,0.0,0.3034482758620689
ECU,204,0.0,2024,105.35237282209494,21.318972385735385,0.0,-0.7026525233510372,-1.4907528727174129,0.0885017460544591,-0.7317714003097093,0.1188805383205634,0.0,0.2758620689655172
ECU,205,0.0,2024,105.35237282209494,13.225255590380788,0.0,-0.7026525233510372,0.1838057606004058,0.0807628576095515,-0.7317714003097093,0.2896806542831023,0.0,0.3034482758620689
ECU,206,0.002755044400845,2024,105.35237282209494,25.135607957097637,0.002755044400845,-0.7026525233510372,0.2174861729912083,0.08792258715615,-0.7317714003097093,0.3282136624409189,0.002755044400845,0.3034482758620689
ECU,207,0.0754411123611094,2024,105.35237282209494,26.011176360680157,0.0754411123611094,-0.7026525233510372,0.6149921538281615,0.0883463304754127,-0.7317714003097093,0.3072466867855131,0.0754411123611094,0.296551724137931
ECU,208,0.3870663431407996,2024,105.35237282209494,23.856912541644697,0.3870663431407996,-0.7026525233510372,1.035897850199612,0.0831341277522484,-0.7317714003097093,0.298288155149809,0.3870663431407996,0.296551724137931
ECU,209,0.0,2024,105.35237282209494,20.33458579769171,0.0,-0.7026525233510372,2.232892781223654,0.076707991144626,-0.7317714003097093,0.6434257481866857,0.0,0.296551724137931
ECU,210,7.888762451572283e-05,2024,105.35237282209494,21.19301390868796,7.888762451572283e-05,-0.7026525233510372,1.1220438085107174,0.0796154869834201,-0.7317714003097093,0.4875530799277857,7.888762451572283e-05,0.2827586206896552
ECU,301,0.6472990929221115,2024,105.35237282209494,32.64933921245547,0.6472990929221115,-0.7026525233510372,-0.7739361940344806,0.1012688059435359,-0.7317714003097093,0.0781347630623602,0.6472990929221115,0.296551724137931
ECU,302,0.7772368281166827,2024,105.35237282209494,35.11054714828071,0.7772368281166827,-0.7026525233510372,-1.376076337038024,0.1119891073628336,-0.7317714003097093,0.0171593530843862,0.7772368281166827,0.3172413793103448
ECU,303,0.7730128160454924,2024,105.35237282209494,42.266923361713616,0.7730128160454924,-0.7026525233510372,-2.4363340887885503,0.1194017300449261,-0.7317714003097093,-0.0011737909651769,0.7730128160454924,0.3172413793103448
ECU,304,0.8337210770214424,2024,105.35237282209494,37.30163735632471,0.8337210770214424,-0.7026525233510372,-0.9581100414940008,0.1132342259328427,-0.7317714003097093,0.0178603967163403,0.8337210770214424,0.3172413793103448
ECU,305,0.6093254862006258,2024,105.35237282209494,45.66666762004408,0.6093254862006258,-0.7026525233510372,-2.257136133427101,0.1170398847392675,-0.7317714003097093,0.0162494617323013,0.6093254862006258,0.3172413793103448
ECU,306,0.9937083931684292,2024,105.35237282209494,34.52617656965195,0.9937083931684292,-0.7026525233510372,-2.788911586044144,0.1211921463163931,-0.7317714003097093,-0.0003289876088184,0.9937083931684292,0.3241379310344827
ECU,307,0.3570483826104159,2024,105.35237282209494,37.6311952418245,0.3570483826104159,-0.7026525233510372,-2.2190453015508806,0.1148805205078811,-0.7317714003097093,0.0022337566091279,0.3570483826104159,0.3172413793103448
ECU,401,0.0435361436062358,2024,105.35237282209494,35.60021571454586,0.0435361436062358,-0.7026525233510372,0.1907057978799413,0.0985973347230227,-0.7317714003097093,0.2696530174646176,0.0435361436062358,0.3103448275862069
ECU,402,0.0032166909720419,2024,105.35237282209494,37.15405212748096,0.0032166909720419,-0.7026525233510372,-0.5808262826046444,0.1044090607452852,-0.7317714003097093,0.1486911935689552,0.0032166909720419,0.3034482758620689
ECU,403,0.1348158627895981,2024,105.35237282209494,40.85043034705164,0.1348158627895981,-0.7026525233510372,0.0804814848443107,0.103109127382991,-0.7317714003097093,0.1826031989569144,0.1348158627895981,0.3103448275862069
ECU,404,0.0,2024,105.35237282209494,27.113143564418785,0.0,-0.7026525233510372,1.5627305204058155,0.085771569542537,-0.7317714003097093,0.5071448417206953,0.0,0.3034482758620689
ECU,405,0.0,2024,105.35237282209494,30.229929139156145,0.0,-0.7026525233510372,-0.3850176257178679,0.0946047204570584,-0.7317714003097093,0.2335041335050758,0.0,0.296551724137931
ECU,406,0.019278283862586,2024,105.35237282209494,32.92902133381035,0.019278283862586,-0.7026525233510372,1.1564686626846596,0.0924310045842486,-0.7317714003097093,0.3747717397105134,0.019278283862586,0.3034482758620689
ECU,407,0.0,2024,105.35237282209494,41.89786059413307,0.0,-0.7026525233510372,-0.551876548654593,0.1057459206194743,-0.7317714003097093,0.1374644352942177,0.0,0.296551724137931
ECU,408,0.0,2024,105.35237282209494,24.50340361195289,0.0,-0.7026525233510372,1.2107451531507645,0.0855117943319415,-0.7317714003097093,0.5061546767059655,0.0,0.296551724137931
ECU,409,0.003081730482418,2024,105.35237282209494,38.73995891045959,0.003081730482418,-0.7026525233510372,-1.0603856421550597,0.1058711337000098,-0.7317714003097093,0.0669906074863578,0.003081730482418,0.2896551724137931
