hs4,market_growth_5y,total_trade,market_size_share,ecu_total_trade,ecu_export_growth_5y,ecu_market_share_2020,ecu_market_share_2024,market_share_change_abs,distance_travelled,eff_num_exp,ecu_exporter_rank,accessible_market_size,accessible_market_growth_5y,raw_rca_trade,market_size,accessible_market_size_share,accessible_market_to_market_ratio,above_median_cagr,above_median_accessible_market_growth,above_median_export_cagr,dai_index,dai_percentile,dai_lead,alignment_weighted_percentile,alignment_lead_unweighted,alignment_lead_weighted
0101,0.0592757779286483,3765874228.0,0.0001844432692363,144569.0,0.3103219975006381,1.325453247285165e-05,3.838922684276114e-05,2.5134694369909492e-05,3487.74,9.54585967277697,62.0,77751538.0,-0.0008378373337772,0.0231471445440712,3765874228.0,1.7021853782700722e-05,0.0206463448571655,True,False,True,0.6229678922826899,16.129032258064516,-64.51612903225806,16.129032258064516,-64.51612903225806,-64.51612903225806
0102,0.0406486727241712,10090759979.0,0.0004942206369421,0.0,0.0,0.0,0.0,0.0,3185.42,12.096398446549104,92.0,42727842.0,-0.0696093312938984,0.0,10090759979.0,9.354246844279e-06,0.0042343532190758,False,False,False,0.7577409486183903,9.67741935483871,-64.51612903225806,9.67741935483871,-64.51612903225806,-64.51612903225806
0103,0.0185980184073362,4708953446.0,0.0002306329727648,0.0,0.0,0.0,0.0,0.0,929.49,5.527705481002056,51.0,0.0,0.0,0.0,4708953446.0,0.0,0.0,False,False,False,0.533681283776997,9.67741935483871,-32.25806451612903,9.67741935483871,-32.25806451612903,-32.25806451612903
0104,0.0685645512172947,1834893699.0,8.986858616478732e-05,0.0,0.0,0.0,0.0,0.0,2129.8,6.148720532196369,,382296.0,0.0671059618030913,0.0,1834893699.0,8.369463525867946e-08,0.0002083477643464,True,True,False,0.5308123649945458,22.58064516129032,-54.83870967741936,22.58064516129032,-54.83870967741936,-54.83870967741936
0105,0.0446894505320556,3387733355.0,0.0001659228581378,0.0,0.0,0.0,0.0,0.0,1791.98,12.490825784151458,92.0,75456577.0,0.0595089459175808,0.0,3387733355.0,1.651942654352507e-05,0.0222734699260296,True,False,False,0.9339467964430967,22.58064516129032,-29.032258064516128,22.58064516129032,-29.032258064516128,-29.032258064516128
0106,0.0515908817059311,1381589346.0,6.766685244655864e-05,1809287.0,0.1044622908230525,0.0010247267727334,0.001309569305263,0.0002848425325295,4239.91,17.265566407852745,53.0,23761643.0,0.1322887394220187,0.7896171007444442,1381589346.0,5.202047743193635e-06,0.0171987740559777,True,True,True,0.7788355824101701,9.67741935483871,-61.29032258064516,9.67741935483871,-61.29032258064516,-61.29032258064516
0201,0.0718472772097091,30425598595.0,0.0014901710820851,0.0,0.0,0.0,0.0,0.0,3923.72,14.760081629929006,98.0,2880377379.0,0.0970440774221836,0.0,30425598595.0,0.0006305902602767,0.0946695385468389,True,True,False,1.0593792683837853,38.70967741935484,-12.903225806451609,38.70967741935484,-12.903225806451609,-12.903225806451609
0202,0.0609328487152351,33644170678.0,0.0016478088366462,743.0,-0.4480874538584793,5.796517277042246e-07,2.2084063450725787e-08,-5.575676642534988e-07,11134.14,6.950152471979917,103.0,10253055251.0,0.1196747187993552,1.3315793279925896e-05,33644170678.0,0.0022446630870308,0.3047498287037432,True,True,False,1.242716541550003,74.19354838709677,-12.903225806451616,74.19354838709677,-12.903225806451616,-12.903225806451616
0203,-0.0013168632524892,34277836196.0,0.001678844217189,0.0,0.0,0.0,0.0,0.0,5854.34,9.308535773244678,87.0,7081813489.0,0.1262900354851015,0.0,34277836196.0,0.0015503949738732,0.2066003655687695,False,True,False,0.9538312599378344,35.483870967741936,-38.70967741935483,35.483870967741936,-38.70967741935483,-38.70967741935483
0204,0.0466532657482874,8189885003.0,0.0004011204499055,0.0,0.0,0.0,0.0,0.0,9070.49,4.463655512186467,87.0,2012505222.0,0.0839006139429305,0.0,8189885003.0,0.0004405902507781,0.2457305836727632,True,True,False,0.8451398630734667,19.35483870967742,-41.935483870967744,19.35483870967742,-41.935483870967744,-41.935483870967744
0205,-0.0095818947954635,333680428.0,1.634284771459184e-05,0.0,0.0,0.0,0.0,0.0,5339.24,9.22553376211342,,2100750.0,-0.0267139863251,0.0,333680428.0,4.599093503977831e-07,0.0062956943941584,False,False,False,0.8883543965680578,25.806451612903224,-48.387096774193544,25.806451612903224,-48.387096774193544,-48.387096774193544
0206,0.0268511691439852,8778216855.0,0.0004299354988448,28296.0,-0.105962856604252,6.4428562230956765e-06,3.2234336958630536e-06,-3.219422527232623e-06,8309.77,12.000800293898244,91.0,1479410130.0,0.0978671221058493,0.0019435995935,8778216855.0,0.0003238817335999,0.1685319643427742,False,True,False,1.0700861014950958,77.41935483870968,38.70967741935484,77.41935483870968,38.70967741935484,38.70967741935484
0207,0.0696692379020629,32118790294.0,0.0015730994523651,0.0,0.0,0.0,0.0,0.0,5678.87,8.086564581906671,116.0,3989427353.0,0.0896242618903222,0.0,32118790294.0,0.00087339042836,0.1242085183309426,True,True,False,0.8343174042591617,16.129032258064516,-45.16129032258064,16.129032258064516,-45.16129032258064,-45.16129032258064
0208,0.0465193892704438,662361773.0,3.24408526235349e-05,446486.0,0.2950171504494692,0.0002323118595732,0.0006740817755495,0.0004417699159763,4554.97,13.389469378588837,37.0,3040621.0,0.097912646789571,0.4064439317071633,662361773.0,6.656717976512471e-07,0.0045905744020043,True,True,True,0.7118574998898071,29.03225806451613,-32.258064516129025,29.03225806451613,-32.258064516129025,-32.258064516129025
0209,-0.029172533551603,699018009.0,3.423618502084931e-05,0.0,0.0,0.0,0.0,0.0,5112.11,9.543422572227414,58.0,94590198.0,0.0709740509378442,0.0,699018009.0,2.0708278717685435e-05,0.1353186853301801,False,True,False,0.8766091750206596,32.25806451612903,-35.48387096774193,32.25806451612903,-35.48387096774193,-35.48387096774193
